ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
1,CSJ AMAZONAS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,220
2,CSJ AMAZONAS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,24
3,CSJ AMAZONAS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,331
4,CSJ AMAZONAS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,27
5,CSJ AMAZONAS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,60
6,CSJ AMAZONAS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,194
7,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,14
8,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,907
9,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,43
10,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,31
11,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,63
12,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,1061
13,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,41
14,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1327
15,CSJ ANCASH,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,31
16,CSJ ANCASH - CARAZ,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,12
17,CSJ ANCASH - CARAZ,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,43
18,CSJ ANCASH - CARHUAZ,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,10
19,CSJ ANCASH - RECUAY NCPP,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,8
20,CSJ ANCASH - YUNGAY,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,95
21,CSJ ANCASH - YUNGAY,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,15
22,CSJ ANCASH - YUNGAY,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,195
23,CSJ ANCASH - YUNGAY,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,27
24,CSJ APURIMAC,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,196
25,CSJ APURIMAC,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,273
26,CSJ APURIMAC,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,24
27,CSJ APURIMAC,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,17
28,CSJ APURIMAC,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,117
"",CSJ APURIMAC-MBJ,,,,,
29,,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,12
"",ANDAHUAYLAS,,,,,
"",CSJ APURIMAC-MBJ,,,,,
30,,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,49
"",ANDAHUAYLAS,,,,,
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
31,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1255
32,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,317
33,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,290
34,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,1508
35,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,411
36,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,520
37,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,278
38,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,359
39,CSJ AREQUIPA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1165
40,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,25
41,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,361
42,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,25
43,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,27
44,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,43
45,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,665
46,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,25
47,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,547
48,CSJ AYACUCHO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,24
49,CSJ AYACUCHO - HUANTA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,206
50,CSJ AYACUCHO - SAN MIGUEL,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1
51,CSJ AYACUCHO - VRAEM,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1
52,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,128
53,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,148
54,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1339
55,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,84
56,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,1311
57,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,99
58,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,110
59,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,11
60,CSJ CAJAMARCA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1254
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
61,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,130
62,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,993
63,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,16
64,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,484
65,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,1281
66,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,18
67,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,358
68,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1543
69,CSJ CALLAO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,77
70,CSJ CAÑETE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1549
71,CSJ CAÑETE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,141
72,CSJ CAÑETE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,308
73,CSJ CAÑETE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,535
74,CSJ CAÑETE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,1518
